#m=1,S=1
0.1	1
0.2	1
0.3	1
0.4	1
0.5	1
0.6	1
0.7	1
0.8	1
0.9	1
1.0	1

#m=2,S=2
0.1	.978303105152332
0.2	.965649158305105
0.3	.957377709108741
0.4	.955003763569636
0.5	.955650103735988
0.6	.960787652610650
0.7	.968843374374965
0.8	.981266807988351
0.9	.989571714421206
1.0	.990865059302753

#m=3,S=3
0.1	.999327926870780
0.2	.999467179466764
0.3	1.000221704025324
0.4	1.001973295365993
0.5	1.001199456692090
0.6	1.006276359729696
0.7	1.005305814916106
0.8	1.009183935967458
0.9	1.007141932301376
1.0	1.002304391098457

#m=4,S=4
0.1	1.024324291962662
0.2	1.027296667087845
0.3	1.023116787433566
0.4	1.020587613126488
0.5	1.013751362001283
0.6	1.014667091411695
0.7	1.009719995672101
0.8	1.013160332823133
0.9	1.005217081856187
1.0	1.003739451303051
